id,lat,lng,base_type,Base64,issue_color,address,reported_date,is_verifed_BMC
672,18.98822222,72.84313889," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCRExCIENvbG9ueQkKU2hyaWthbnQgSGFka2FyIE1hcmcKS2FsYWNob3dreQo0MDAwMzMKCiAgICAgICAgICAgIA==""",Yellow,<b> BMC verified </b><br>Add- BDLB Colony	<br>Shrikant Hadkar Marg<br>Kalachowky<br>400033,2020-04-18 20:15:08,True
673,18.99978333,72.83722778," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCTEQgTk8gMjczIApSYWlsd2F5IENvbG9ueQpyYWlsd2F5IENvbG9ueSBSb2FkCk5lYXIgQ2VudHJhbCBSYWlsd2F5IExvY29tb3RpdmUgV29ya3Nob3AJClBhcmVsCjQwMDAxMgoKICAgICAgICAgICAg""",Yellow,<b> BMC verified </b><br>Add- BLD NO 273 <br>Railway Colony<br>railway Colony Road<br>Near Central Railway Locomotive Workshop	<br>Parel<br>400012,2020-04-18 20:15:08,True
674,19.01858889,72.818825," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCbGRnIE5vLjYgCkFkYXJzaCBOYWdhcgkKS2VzYXJpIE5hdGggQnV2YSBCaGF5IE1hcmcJCldvcmxpIFZpbGxhZ2UJCjQwMDAzMAoKICAgICAgICAgICAg""",Yellow,<b> BMC verified </b><br>Add- Bldg No.6 <br>Adarsh Nagar	<br>Kesari Nath Buva Bhay Marg	<br>Worli Village	<br>400030,2020-04-18 20:15:08,True
675,19.02020943,72.81726813," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBCcHQgUXRyLEJsZGcgTm8uNAkKS2VzYXJpIE5hdGggQnV2YSBCaGF5IE1hcmcJCldvcmxpIFZpbGxhZ2UKNDAwMDMwCgogICAgICAgICAgICA=""",Yellow,"<b> BMC verified </b><br>Add- Bpt Qtr,Bldg No.4	<br>Kesari Nath Buva Bhay Marg	<br>Worli Village<br>400030",2020-04-18 20:15:08,True
676,19.11916667,72.83925," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBTQUdBUiBCVUlMRElORyBTUkEJClYuUCBSb2FkIApBbmRoZXJpIFdlc3QKNDAwMDU4CgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- SAGAR BUILDING SRA	<br>V.P Road <br>Andheri West<br>400058,2020-04-18 20:15:08,True
677,19.13577778,72.82148056," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBTSFJFRSBEQVJTSEFOIEJVSUxESU5HClMuVi5QIE1IQURBCQpWRVJTT1ZBIFRFTEVQSE9ORSBFWENIQU5HRQkKQU5ESEVSSSBXRVNUCQo0MDAwNTMKCiAgICAgICAgICAgIA==""",Yellow,<b> BMC verified </b><br>Add- SHREE DARSHAN BUILDING<br>S.V.P MHADA	<br>VERSOVA TELEPHONE EXCHANGE	<br>ANDHERI WEST	<br>400053,2020-04-18 20:15:08,True
678,19.12401389,72.82595556," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBTRUVNQSBCVUlMRElORwkKTi5EQVRUQSBNQVJHCQpGT1VSIEJVTkdMT1cJCkFOREhFUkkgV0VTVAkKNDAwMDUzCgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- SEEMA BUILDING	<br>N.DATTA MARG	<br>FOUR BUNGLOW	<br>ANDHERI WEST	<br>400053,2020-04-18 20:15:08,True
679,19.11036944,72.83023056," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBELkMgSE9VU0UKMTBUSCBST0FECQpKVlBEICwgSlVIVQkKQU5ESEVSSSBXRVNUCQo0MDAwNDkKCiAgICAgICAgICAgIA==""",Yellow,"<b> BMC verified </b><br>Add- D.C HOUSE<br>10TH ROAD	<br>JVPD , JUHU	<br>ANDHERI WEST	<br>400049",2020-04-18 20:15:08,True
680,19.13705556,72.81655278," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBISUJJU0NVUwpORVcgRklTSEVSSUVTIFJPQUQKNyBCVU5HTE9XUwpBTkRIRVJJIFdFU1QJCjQwMDA2MQoKICAgICAgICAgICAg""",Yellow,<b> BMC verified </b><br>Add- HIBISCUS<br>NEW FISHERIES ROAD<br>7 BUNGLOWS<br>ANDHERI WEST	<br>400061,2020-04-18 20:15:08,True
681,19.05734167,72.89060833," ""data:text/html;charset=utf-8;base64","CiAgICAKICAgICAgICAgICAgPGI+VHlwZSAgICAgIDo8L2I+Qmx1ZSBJbmRlcGVuZGVudCBTdHJ1Y3R1cmU8YnI+IAogICAgICAgICAgICA8Yj5BZGRyZXNzICAgOjwvYj4gPGJyPiAKICAgICAgICAgICAgQWRkLSBBamlua3lhdGFyYSBDaHMJClN3YXN0aWsgUGFyawkKQ1NUIFJvYWQJCkluc2lkZSBTYXJ2b2RheSBOYWdhciBTb2MuCQpOZWFyIEt1cmxhIFNpZ25hbAkKQ2hlbWJ1cgkKNDAwMDcxCgogICAgICAgICAgICA=""",Yellow,<b> BMC verified </b><br>Add- Ajinkyatara Chs	<br>Swastik Park	<br>CST Road	<br>Inside Sarvoday Nagar Soc.	<br>Near Kurla Signal	<br>Chembur	<br>400071,2020-04-18 20:15:08,True
